0	0.995619
1	0.995458
2	0.995285
3	0.995097
4	0.994895
5	0.994676
6	0.994437
7	0.994176
8	0.99389
9	0.993575
10	0.993226
11	0.992838
12	0.992404
13	0.991915
14	0.991361
15	0.990726
16	0.989995
17	0.989141
18	0.988134
19	0.986928
20	0.985461
21	0.983639
22	0.981321
23	0.978284
24	0.97415
25	0.968237
26	0.959195
27	0.943999
28	0.914612
29	0.843886
30	0.613134
31	0.08049
32	0.0174134
33	0.0111851
34	0.8262
35	0.549182
36	0.0451365
37	0.0169118
38	0.0109848
39	0.00818021
40	0.00652547
41	0.00542949
42	0.00464889
43	0.00406423
44	0.0036098
45	0.00324639
46	0.00294912
47	0.00270144
48	0.902654
49	0.810087
50	0.491687
51	0.0288445
52	0.0146031
53	0.00999164
54	0.00762144
55	0.00616597
56	0.00517844
57	0.00446353
58	0.00392171
59	0.00349679
60	0.00315458
61	0.00287306
62	0.0026374
63	0.00243724
64	0.907078
65	0.822912
66	0.537384
67	0.040931
68	0.0165185
69	0.0108243
70	0.00809212
71	0.00646967
72	0.00539097
73	0.0046207
74	0.00404271
75	0.00359285
76	0.0032327
77	0.00293784
78	0.00269199
79	0.00248388
